module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	3	0.0000	0.3333	0.3333	0	0
M00346	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	9	0.0000	0.3333	0.3333	0	0
M00356	Methanogenesis, methanol => methane	Pathway modules; Energy metabolism; Methane metabolism	3	0.0000	0.0000	0.0000	0	0
M00357	Methanogenesis, acetate => methane	Pathway modules; Energy metabolism; Methane metabolism	5	0.0000	0.0000	0.0000	0	0
M00358	Coenzyme M biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	4	0.0000	0.0000	0.0000	0	0
M00363	EHEC pathogenicity signature, Shiga toxin	Signature modules; Gene set; Pathogenicity	2	0.0000	0.0000	0.0000	0	0
M00364	C10-C20 isoprenoid biosynthesis, bacteria	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00365	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00366	C10-C20 isoprenoid biosynthesis, plants	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00368	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	3	0.0000	0.3333	0.3333	0	0
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	Pathway modules; Amino acid metabolism; Other amino acid metabolism	3	0.0000	0.0000	0.0000	0	0
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	5	0.0000	0.0000	0.0000	0	0
M00371	Castasterone biosynthesis, plants, campesterol => castasterone	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid biosynthesis	6	0.0000	0.0000	0.0000	0	0
M00372	Abscisic acid biosynthesis, plants, 9'-cis-neoxanthin/9-cis-violaxanthin => abscisic acid	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00373	Ethylmalonyl pathway	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	12	0.0833	0.0000	0.0833	0	1
M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway modules; Energy metabolism; Carbon fixation	13	0.0000	0.0769	0.0769	0	0
M00375	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	14	0.0000	0.0000	0.0000	0	0
M00376	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	13	0.0000	0.0769	0.0769	0	0
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules; Energy metabolism; Carbon fixation	7	0.0000	0.0000	0.0000	0	0
M00378	F420 biosynthesis, archaea	Pathway modules; Energy metabolism; Methane metabolism	4	0.0000	0.0000	0.0000	0	0
M00415	Fatty acid elongation in endoplasmic reticulum	Pathway modules; Lipid metabolism; Fatty acid metabolism	4	0.0000	0.0000	0.0000	0	0
M00416	Cytochrome aa3-600 menaquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00417	Cytochrome o ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	6	0.0000	0.0000	0.0000	0	0
M00419	Cymene degradation, p-cymene => p-cumate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	Pathway modules; Energy metabolism; Methane metabolism	2	0.0000	0.0000	0.0000	0	0
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	3	0.0000	0.6667	0.6667	0	0
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	Pathway modules; Amino acid metabolism; Lysine metabolism	3	0.0000	0.0000	0.0000	0	0
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	9	0.1111	0.3333	0.4444	0	1
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	6	0.1667	0.3333	0.5000	0	1
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	7	0.1429	0.4286	0.5714	0	1
M00528	Nitrification, ammonia => nitrite	Pathway modules; Energy metabolism; Nitrogen metabolism	2	0.0000	0.0000	0.0000	0	0
M00529	Denitrification, nitrate => nitrogen	Pathway modules; Energy metabolism; Nitrogen metabolism	4	0.0000	0.0000	0.0000	0	0
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	2	0.0000	0.0000	0.0000	0	0
M00531	Assimilatory nitrate reduction, nitrate => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	2	0.0000	0.0000	0.0000	0	0
M00532	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	10	0.1000	0.2000	0.2000	0	0
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	4	0.0000	0.5000	0.5000	0	0
M00534	Naphthalene degradation, naphthalene => salicylate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	6	0.0000	0.0000	0.0000	0	0
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	3	0.0000	0.3333	0.3333	0	0
M00537	Xylene degradation, xylene => methylbenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00538	Toluene degradation, toluene => benzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	5	0.0000	0.0000	0.0000	0	0
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	5	0.0000	0.0000	0.0000	0	0
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	4	0.0000	0.0000	0.0000	0	0
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	Signature modules; Gene set; Pathogenicity	8	0.0000	0.0000	0.0000	0	0
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	4	0.0000	0.0000	0.0000	0	0
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	6	0.1667	0.1667	0.1667	0	0
M00546	Purine degradation, xanthine => urea	Pathway modules; Nucleotide metabolism; Purine metabolism	5	0.0000	0.4000	0.4000	0	0
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	2	0.0000	0.0000	0.0000	0	0
M00548	Benzene degradation, benzene => catechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	1	0.0000	0.0000	0.0000	0	0
M00549	UDP-Glc biosynthesis, Glc => UDP-Glc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	3	0.3333	0.3333	0.3333	0	0
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.0000	0.0000	0.0000	0	0
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	2	0.5000	0.0000	0.5000	0	1
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.0000	0.6000	0.6000	0	0
M00554	UDP-Gal biosynthesis, Gal => UDP-Gal	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00555	Betaine biosynthesis, choline => betaine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	1	0.0000	0.0000	0.0000	0	0
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Pathway modules; Energy metabolism; Methane metabolism	4	0.0000	0.0000	0.0000	0	0
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	Signature modules; Gene set; Pathogenicity	23	0.0000	0.0000	0.0000	0	0
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	6	0.6667	0.0000	0.6667	0	1
M00567	Methanogenesis, CO2 => methane	Pathway modules; Energy metabolism; Methane metabolism	8	0.0000	0.0000	0.0000	0	0
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	4	0.5000	0.5000	0.5000	0	0
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	5	0.0000	0.0000	0.0000	0	0
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	5	0.0000	0.8000	0.8000	0	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0.0000	0.1667	0.1667	0	0
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0.0000	0.4000	0.4000	0	0
M00574	Pertussis pathogenicity signature, pertussis toxin	Signature modules; Gene set; Pathogenicity	4	0.0000	0.0000	0.0000	0	0
M00575	Pertussis pathogenicity signature, T1SS	Signature modules; Gene set; Pathogenicity	5	0.0000	0.0000	0.0000	0	0
M00576	ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	Signature modules; Gene set; Pathogenicity	2	0.0000	0.0000	0.0000	0	0
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0.0000	0.6000	0.6000	0	0
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules; Energy metabolism; Carbon fixation	2	0.0000	0.5000	0.5000	0	0
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	2	0.0000	0.5000	0.5000	0	0
M00595	Sulfur oxidation, SOX system, thiosulfate => sulfate	Pathway modules; Energy metabolism; Sulfur metabolism	1	0.0000	0.0000	0.0000	0	0
M00596	Dissimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	4	0.0000	0.0000	0.0000	0	0
M00597	Anoxygenic photosystem II	Pathway modules; Energy metabolism; Photosynthesis	1	0.0000	0.0000	0.0000	0	0
M00598	Anoxygenic photosystem I	Pathway modules; Energy metabolism; Photosynthesis	1	0.0000	0.0000	0.0000	0	0
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	Pathway modules; Energy metabolism; Methane metabolism	3	0.0000	0.0000	0.0000	0	0
M00609	Cysteine biosynthesis, methionine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	6	0.0000	0.3333	0.3333	0	0
M00611	Oxygenic photosynthesis in plants and cyanobacteria	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00612	Anoxygenic photosynthesis in purple bacteria	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00614	Anoxygenic photosynthesis in green sulfur bacteria	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00615	Nitrate assimilation	Signature modules; Module set; Metabolic capacity	2	0.5000	0.5000	0.5000	0	0
M00616	Sulfate-sulfur assimilation	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00617	Methanogen	Signature modules; Module set; Metabolic capacity	1	0.0000	0.0000	0.0000	0	0
M00618	Acetogen	Signature modules; Module set; Metabolic capacity	2	0.0000	0.0000	0.0000	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules; Energy metabolism; Carbon fixation	7	0.0000	0.0000	0.0000	0	0
M00621	Glycine cleavage system	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	3	0.0000	0.6667	0.6667	0	0
M00622	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0.1667	0.0000	0.1667	0	1
M00623	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	2	0.0000	0.0000	0.0000	0	0
M00625	Methicillin resistance	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00627	beta-Lactam resistance, Bla system	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0.0000	0.0000	0.0000	0	0
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.2000	0.2000	0.4000	0	1
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0.0000	0.0000	0.0000	0	0
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	0.0000	0.0000	0.0000	0	0
M00636	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	3	0.0000	0.0000	0.0000	0	0
M00637	Anthranilate degradation, anthranilate => catechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	1	0.0000	0.0000	0.0000	0	0
M00638	Salicylate degradation, salicylate => gentisate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	1	0.0000	0.0000	0.0000	0	0
M00639	Multidrug resistance, efflux pump MexCD-OprJ	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00641	Multidrug resistance, efflux pump MexEF-OprN	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00642	Multidrug resistance, efflux pump MexJK-OprM	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00643	Multidrug resistance, efflux pump MexXY-OprM	Signature modules; Gene set; Drug resistance	2	0.0000	0.5000	0.5000	0	0
M00649	Multidrug resistance, efflux pump AdeABC	Signature modules; Gene set; Drug resistance	3	0.0000	1.0000	1.0000	0	0
M00651	Vancomycin resistance, D-Ala-D-Lac type	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00652	Vancomycin resistance, D-Ala-D-Ser type	Signature modules; Gene set; Drug resistance	5	0.0000	0.0000	0.0000	0	0
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	Signature modules; Gene set; Plant pathogenicity	8	0.0000	0.2500	0.2500	0	0
M00661	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds	3	0.0000	0.0000	0.0000	0	0
M00664	Nodulation	Signature modules; Gene set; Symbiosis	4	0.0000	0.0000	0.0000	0	0
M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	3	0.0000	0.0000	0.0000	0	0
M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	8	0.0000	0.0000	0.0000	0	0
M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	4	0.0000	0.0000	0.0000	0	0
M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	3	0.0000	0.0000	0.0000	0	0
M00696	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00697	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00698	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules; Gene set; Drug resistance	2	0.0000	0.5000	0.5000	0	0
M00700	Multidrug resistance, efflux pump AbcA	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00702	Multidrug resistance, efflux pump NorB	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00704	Tetracycline resistance, efflux pump Tet38	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00705	Multidrug resistance, efflux pump MepA	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00714	Multidrug resistance, efflux pump QacA	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00718	Multidrug resistance, efflux pump MexAB-OprM	Signature modules; Gene set; Drug resistance	2	0.0000	0.0000	0.0000	0	0
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	Signature modules; Gene set; Drug resistance	3	0.0000	0.3333	0.3333	0	0
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams	4	0.0000	0.0000	0.0000	0	0
M00740	Methylaspartate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	11	0.0000	0.2727	0.2727	0	0
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	0.0000	0.0000	0.0000	0	0
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00745	Imipenem resistance, repression of porin OprD	Signature modules; Gene set; Drug resistance	2	0.5000	0.5000	0.5000	0	0
M00746	Multidrug resistance, repression of porin OmpF	Signature modules; Gene set; Drug resistance	3	0.0000	0.0000	0.0000	0	0
M00761	Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	5	0.0000	0.6000	0.6000	0	0
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	6	0.0000	0.0000	0.0000	0	0
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	Signature modules; Gene set; Drug resistance	3	0.0000	0.3333	0.3333	0	0
M00773	Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	8	0.0000	0.0000	0.0000	0	0
M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	6	0.0000	0.0000	0.0000	0	0
M00775	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00776	Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	7	0.0000	0.0000	0.0000	0	0
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00782	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	8	0.0000	0.0000	0.0000	0	0
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00784	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00785	Cycloserine biosynthesis, arginine/serine => cycloserine	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	6	0.0000	0.0000	0.0000	0	0
M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds	9	0.0000	0.0000	0.0000	0	0
M00787	Bacilysin biosynthesis, prephenate => bacilysin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	6	0.0000	0.0000	0.0000	0	0
M00788	Terpentecin biosynthesis, GGAP => terpentecin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	2	0.0000	0.0000	0.0000	0	0
M00789	Rebeccamycin biosynthesis, tryptophan => rebeccamycin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	6	0.1667	0.0000	0.1667	0	1
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	4	0.7500	0.0000	0.7500	1	1
M00793	dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	3	0.3333	0.3333	0.3333	0	0
M00794	dTDP-6-deoxy-D-allose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00795	dTDP-beta-L-noviose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00796	dTDP-D-mycaminose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00797	dTDP-D-desosamine biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00798	dTDP-L-mycarose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00799	dTDP-L-oleandrose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00800	dTDP-L-megosamine biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00801	dTDP-L-olivose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00802	dTDP-D-forosamine biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	5	0.0000	0.0000	0.0000	0	0
M00803	dTDP-D-angolosamine biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	Pathway modules; Energy metabolism; Nitrogen metabolism	3	0.3333	0.0000	0.3333	0	1
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	7	0.0000	0.0000	0.0000	0	0
M00808	Violacein biosynthesis, tryptophan => violacein	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	4	0.0000	0.0000	0.0000	0	0
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	4	0.0000	0.0000	0.0000	0	0
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	4	0.0000	0.0000	0.0000	0	0
