module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	10	0.0000	0.0000	0.0000	0	0
M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	3	0.0000	0.0000	0.0000	0	0
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	4	0.0000	0.0000	0.0000	0	0
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	1	0.0000	0.0000	0.0000	0	0
M00044	Tyrosine degradation, tyrosine => homogentisate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	5	0.0000	0.4000	0.4000	0	0
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	Pathway modules; Amino acid metabolism; Histidine metabolism	4	0.2500	0.5000	0.5000	0	0
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	3	0.0000	0.0000	0.0000	0	0
M00047	Creatine pathway	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	3	0.0000	0.0000	0.0000	0	0
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	8	0.0000	0.6250	0.6250	0	0
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	4	0.2500	0.5000	0.5000	0	0
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	4	0.0000	0.5000	0.5000	0	0
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	3	0.0000	0.0000	0.0000	0	0
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	3	0.0000	0.6667	0.6667	0	0
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules; Nucleotide metabolism; Purine metabolism	2	0.0000	0.0000	0.0000	0	0
M00055	N-glycan precursor biosynthesis	Pathway modules; Glycan metabolism; Glycan biosynthesis	13	0.0000	0.0000	0.0000	0	0
M00056	O-glycan biosynthesis, mucin type core	Pathway modules; Glycan metabolism; Glycan biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	4	0.0000	0.0000	0.0000	0	0
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	2	0.0000	0.0000	0.0000	0	0
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	5	0.0000	0.0000	0.0000	0	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	9	0.0000	0.4444	0.4444	0	0
