accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_000010545.1	Burkholderia multivorans ATCC 17616	unknown	no usable metadata				
GCF_000011545.1	Burkholderia pseudomallei K96243	unknown	no usable metadata				
GCF_000011705.1	Burkholderia mallei ATCC 23344	unknown	no usable metadata				
GCF_000012365.1	Burkholderia thailandensis E264	unknown	no usable metadata				
GCF_000012785.1	Burkholderia pseudomallei 1710b	unknown	no usable metadata				
GCF_000012945.1	Burkholderia lata	unknown	no usable metadata				
GCF_000013645.1	Paraburkholderia xenovorans LB400	unknown	no usable metadata				
GCF_000015465.1	Burkholderia mallei SAVP1	unknown	no usable metadata				
GCF_000015605.1	Burkholderia mallei NCTC 10229	unknown	no usable metadata				
GCF_000015625.1	Burkholderia mallei NCTC 10247	unknown	no usable metadata				
GCF_000015905.1	Burkholderia pseudomallei 668	unknown	no usable metadata				
GCF_000015925.1	Burkholderia pseudomallei 1106a	unknown	no usable metadata				
GCF_000016205.1	Burkholderia vietnamiensis G4	unknown	no usable metadata				
GCF_000018505.1	Burkholderia multivorans ATCC 17616	unknown	no usable metadata				
GCF_000019505.1	Burkholderia orbicola MC0-3	unknown	no usable metadata				
GCF_000019925.1	Burkholderia ambifaria MC40-6	unknown	no usable metadata				
GCF_000020045.1	Paraburkholderia phymatum STM815	unknown	no usable metadata				
GCF_000020125.1	Paraburkholderia phytofirmans PsJN	unknown	no usable metadata				
GCF_000022645.2	Burkholderia glumae BGR1	unknown	no usable metadata				
GCF_000092885.1	Paraburkholderia atlantica	unknown	no usable metadata				Mexico: Nayarit, Tepic
GCF_000194745.1	Burkholderia gladioli BSR3	unknown	no usable metadata				
GCF_000198775.1	Mycetohabitans rhizoxinica HKI 454	unknown	no usable metadata				
GCF_000203915.1	Burkholderia ambifaria AMMD	unknown	no usable metadata				
GCF_000203955.1	Burkholderia cenocepacia HI2424	unknown	no usable metadata				
GCF_000236065.1	Burkholderia sp. YI23	unknown	no usable metadata				
GCF_000236215.2	Burkholderia cenocepacia H111	unknown	no usable metadata				
GCF_000260515.1	Burkholderia pseudomallei 1026b	human_clinical	host=homo sapiens	Homo sapiens	blood of patient with septicemic melioidosis		Thailand
GCF_000262695.1	Burkholderia sp. KJ006	plant	isolation_source=rice root		rice root		
GCF_000292915.1	Burkholderia cepacia GG4	soil	isolation_source=soil		soil		Malaysia
GCF_000294635.1	Burkholderia pseudomallei BPC006	human_clinical	host=homo sapiens	Homo sapiens	blood from patient with type I diabetes and multiple abcesses		China: Baoting Town, Hainan
GCF_000300095.1	Paraburkholderia phenoliruptrix BR3459a	plant	host=mimosa flocculosa	Mimosa flocculosa			
GCF_000385525.1	Burkholderia thailandensis MSMB121	soil	isolation_source=soil		soil		Australia
GCF_000402035.1	Caballeronia insecticola	unknown	no usable metadata				
