pfamID,pfam_real_name,pfam_toxity
pfam10908,DUF2778,nan
pfam10577,UPF0560,nan
pfam03230,Antirestrict,nan
pfam14667,Polysacc synt C,nan
pfam05738,Cna B,nan
pfam14267,DUF4357,nan
pfam08220,HTH DeoR,nan
pfam07825,Exc,nan
pfam04313,HSDR N,nan
pfam00612,IQ,nan
pfam05227,CHASE3,nan
pfam13495,Phage int SAM 4,nan
pfam02203,TarH,nan
pfam06866,DUF1256,nan
pfam00112,Peptidase C1,nan
pfam12791,RsgI N,nan
pfam08707,PriCT 2,nan
pfam13362,Toprim 3,nan
pfam07000,DUF1308,nan
pfam13198,DUF4014,nan
pfam00294,PfkB,nan
pfam03485,Arg tRNA synt N,nan
pfam00750,tRNA synt 1d,nan
pfam05746,DALR 1,nan
pfam00462,Glutaredoxin,nan
pfam13392,HNH 3,nan
pfam05133,Phage prot Gp6,nan
pfam12799,LRR 4,nan
pfam13474,SnoaL 3,nan
pfam14129,DUF4296,nan
pfam08090,Enterotoxin HS1,tox
pfam02210,Laminin G 2,nan
pfam14292,SusE,nan
pfam00543,P II,nan
pfam00012,HSP70,nan
pfam00924,MS channel,nan
pfam16402,DUF5010,nan
pfam14240,YHYH,nan
pfam01295,Adenylate cycl,nan
pfam06924,DUF1281,nan
pfam00665,rve,nan
pfam11047,SopD,nan
pfam02958,EcKL,nan
pfam10049,DUF2283,nan
pfam04280,Tim44,nan
pfam02378,PTS EIIC,nan
pfam13772,AIG2 2,nan
pfam02729,OTCace N,nan
pfam00185,OTCace,nan
pfam10686,YAcAr,nan
pfam13441,Gly zipper YMGG,nan
pfam07461,NADase NGA,nan
pfam07740,Toxin 12,tox
pfam06537,DHOR,nan
pfam03537,Glyco hydro 114,nan
pfam12905,Glyco hydro 101,nan
pfam16355,DUF4982,nan
pfam03175,DNA pol B 2,nan
pfam10145,PhageMin Tail,nan
pfam07510,DUF1524,nan
pfam00436,SSB,nan
pfam02574,S methyl trans,nan
pfam04466,Terminase 3,nan
pfam02412,TSP 3,nan
pfam04717,Phage base V,nan
pfam05548,Peptidase M11,nan
pfam00656,Peptidase C14,nan
pfam06229,FRG1,nan
pfam13353,Fer4 12,nan
pfam07728,AAA 5,nan
pfam00072,Response reg,nan
pfam16871,DUF5077,nan
pfam16013,DUF4781,nan
pfam00094,VWD,nan
pfam07506,RepB,nan
pfam00872,Transposase mut,nan
pfam05164,ZapA,nan
pfam03629,SASA,nan
pfam07041,DUF1327,nan
pfam14690,zf ISL3,nan
pfam07581,Glug,nan
pfam04650,YSIRK signal,nan
pfam12671,Amidase 6,nan
pfam16396,DUF5005,nan
pfam07798,DUF1640,nan
pfam04862,DUF642,nan
pfam00501,AMP binding,nan
pfam13276,HTH 21,nan
pfam07833,Cu amine oxidN1,nan
pfam13356,Arm DNA bind 3,nan
pfam00303,Thymidylat synt,nan
pfam03718,Glyco hydro 49,nan
pfam02449,Glyco hydro 42,nan
pfam00942,CBM 3,nan
pfam03463,eRF1 1,nan
pfam03464,eRF1 2,nan
pfam03465,eRF1 3,nan
pfam04010,DUF357,nan
pfam02026,RyR,nan
pfam09286,Pro kuma activ,nan
pfam13810,DUF4185,nan
pfam16389,DUF4998,nan
pfam03767,Acid phosphat B,nan
pfam00849,PseudoU synth 2,nan
pfam13436,Gly zipper OmpA,nan
pfam05523,FdtA,nan
pfam03102,NeuB,nan
pfam03477,ATP cone,nan
pfam00317,Ribonuc red lgN,nan
pfam02867,Ribonuc red lgC,nan
pfam04007,DUF354,nan
pfam13186,SPASM,nan
pfam00132,Hexapep,nan
pfam06119,NIDO,nan
pfam04221,RelB,nan
pfam08677,GP11,nan
pfam04550,Phage holin 3 2,nan
pfam11455,DUF3018,nan
pfam09791,Oxidored like,nan
pfam14082,DUF4263,nan
pfam07719,TPR 2,nan
pfam05036,SPOR,nan
pfam01464,SLT,nan
pfam13518,HTH 28,nan
pfam03636,Glyco hydro 65N,nan
pfam03632,Glyco hydro 65m,nan
pfam03633,Glyco hydro 65C,nan
pfam00354,Pentaxin,nan
pfam07635,PSCyt1,nan
pfam13384,HTH 23,nan
pfam04828,GFA,nan
pfam14905,OMP b brl 3,nan
pfam05944,Phage term smal,nan
pfam09603,Fib succ major,nan
pfam07732,Cu oxidase 3,nan
pfam07731,Cu oxidase 2,nan
pfam16656,Pur ac phosph N,nan
pfam13328,HD 4,nan
pfam02810,SEC C,nan
pfam01434,Peptidase M41,nan
pfam11974,bMG3,nan
pfam04664,OGFr N,nan
pfam01457,Peptidase M8,nan
pfam15536,Ntox3,tox
pfam02338,OTU,nan
pfam10102,DUF2341,nan
pfam08887,GAD like,nan
pfam05204,Hom end,nan
pfam13358,DDE 3,nan
pfam06074,DUF935,nan
pfam09373,PMBR,nan
pfam13927,Ig 3,nan
pfam06848,Disaggr repeat,nan
pfam13585,CHU C,nan
pfam16375,DUF4986,nan
pfam08757,CotH,nan
pfam08329,ChitinaseA N,nan
pfam03466,LysR substrate,nan
pfam06605,Prophage tail,nan
pfam16400,DUF5008,nan
pfam01610,DDE Tnp ISL3,nan
pfam06951,PLA2G12,nan
pfam13710,ACT 5,nan
pfam14517,Tachylectin,nan
pfam07811,TadE,nan
pfam07282,OrfB Zn ribbon,nan
pfam13860,FlgD ig,nan
pfam00639,Rotamase,nan
pfam00990,GGDEF,nan
pfam13899,Thioredoxin 7,nan
pfam00085,Thioredoxin,nan
pfam00191,Annexin,nan
pfam12810,Gly rich,nan
pfam01656,CbiA,nan
pfam09976,TPR 21,nan
pfam00702,Hydrolase,nan
pfam17091,Inovirus G7P 1,nan
pfam00890,FAD binding 2,nan
pfam01435,Peptidase M48,nan
pfam09335,SNARE assoc,nan
pfam13503,DUF4123,nan
pfam16173,DUF4874,nan
pfam16116,DUF4832,nan
pfam12844,HTH 19,nan
pfam02012,BNR,nan
pfam13442,Cytochrome CBB3,nan
pfam01527,HTH Tnp 1,nan
pfam12692,Methyltransf 17,nan
pfam13643,DUF4145,nan
pfam00699,Urease beta,nan
pfam12553,DUF3742,nan
pfam04492,Phage rep O,nan
pfam02126,PTE,nan
pfamam06092,DUF943,nan
pfam01856,HP OMP,nan
pfam12760,Zn Tnp IS1595,nan
pfam03174,CHB HEX C,nan
pfam03404,Mo co dimer,nan
pfam02369,Big 1,nan
pfam01266,DAO,nan
pfam00176,SNF2 rel dom,nan
pfam02224,Cytidylate kin,nan
pfam13514,AAA 27,nan
pfam00903,Glyoxalase,nan
pfam01202,SKI,nan
pfam05534,HicB,nan
pfam00934,PE,nan
pfam14567,SUKH 5,nan
pfam13570,PQQ 3,nan
pfam17189,Glyco hydro 30C,nan
pfam03888,MucB RseB,nan
pfam12831,FAD oxidored,nan
pfam13676,TIR 2,nan
pfam07179,SseB,nan
pfam02321,OEP,nan
pfam02881,SRP54 N,nan
pfam00448,SRP54,nan
pfam02978,SRP SPB,nan
pfam13750,Big 3 3,nan
pfam01917,Arch flagellin,nan
pfam16697,Yop YscD cpl,nan
pfam17137,DUF5110,nan
pfam13181,TPR 8,nan
pfam13176,TPR 7,nan
pfam13174,TPR 6,nan
pfam07183,DUF1403,nan
pfam03995,Inhibitor I36,nan
pfam06823,DUF1236,nan
pfam06342,DUF1057,nan
pfam06183,DinI,nan
pfam17168,DUF5127,nan
pfam16862,Glyco hydro 79C,nan
pfam05592,Bac rhamnosid,nan
pfam14106,DUF4279,nan
pfam05872,DUF853,nan
pfam06223,Phage tail T,nan
pfam00152,tRNA synt 2,nan
pfam07151,DUF1391,nan
pfam03130,HEAT PBS,nan
pfam05106,Phage holin 3 1,nan
pfam05100,Phage tail L,nan
pfam16082,Phage holin 2 4,nan
pfam04751,DUF615,nan
pfam06067,DUF932,nan
pfam17191,RecG wedge,nan
pfam12740,Chlorophyllase2,nan
pfam16841,CBM60,nan
pfam04604,L biotic typeA,nan
pfam13508,Acetyltransf 7,nan
pfam08125,Mannitol dh C,nan
pfam03706,LPG synthase TM,nan
pfamam05638,T6SS HCP,nan
pfam06964,Alpha L AF C,nan
pfam02801,Ketoacyl synt C,nan
pfam16197,KAsynt C assoc,nan
pfam00698,Acyl transf 1,nan
pfam14765,PS DH,nan
pfam05552,TM helix,nan
pfam12385,Peptidase C70,nan
pfam05101,VirB3,nan
pfam03135,CagE TrbE VirB,nan
pfam03524,CagX,nan
pfam13420,Acetyltransf 4,nan
pfam09970,DUF2204,nan
pfam13432,TPR 16,nan
pfam09397,FtsK gamma,nan
pfam02763,Diphtheria C,tox
pfam07704,PSK trans fac,nan
pfam04335,VirB8,nan
pfam11319,VasI,nan
pfam09480,PrgH,nan
pfam16403,DUF5011,nan
pfam02281,Dimer Tnp Tn5,nan
pfam05136,Phage portal 2,nan
pfam04439,Adenyl transf,nan
pfam05658,YadA head,nan
pfam05662,YadA stalk,nan
pfam03895,YadA anchor,nan
pfam01075,Glyco transf 9,nan
pfam07452,CHRD,nan
pfam07249,Cerato platanin,tox
pfam05406,WGR,nan
pfam12697,Abhydrolase 6,nan
pfam10142,PhoPQ related,nan
pfam17164,DUF5122,nan
pfam13578,Methyltransf 24,nan
pfam00535,Glycos transf 2,nan
pfam00884,Sulfatase,nan
pfam04644,Motilin ghrelin,nan
pfam02627,CMD,nan
pfam01583,APS kinase,nan
pfam02230,Abhydrolase 2,nan
pfam12468,TTSSLRR,nan
pfam14890,Intein splicing,nan
pfam00392,GntR,nan
pfam10706,Aminoglyc resit,nan
pfam00805,Pentapeptide,nan
pfam12616,DUF3775,nan
pfam14029,DUF4244,nan
pfam02415,Chlam PMP,nan
pfam11218,DUF3011,nan
pfam08758,Cadherin pro,nan
pfam04886,PT,nan
pfam13350,Y phosphatase3,nan
pfam00370,FGGY N,nan
pfam09412,XendoU,nan
pfam01807,zf CHC2,nan
pfam08275,Toprim N,nan
pfam13155,Toprim 2,nan
pfam10410,DnaB bind,nan
pfam12971,NAGLU N,nan
pfam05089,NAGLU,nan
pfam12972,NAGLU C,nan
pfam08386,Abhydrolase 4,nan
pfam09534,Trp oprn chp,nan
pfam13856,Gifsy 2,nan
pfam00746,Gram pos anchor,nan
pfam03245,Phage lysis,nan
pfam06163,DUF977,nan
pfam01847,VHL,nan
pfam13948,DUF4215,nan
pfam01494,FAD binding 3,nan
pfam02734,Dak2,nan
pfam13684,Dak1 2,nan
pfam08494,DEAD assoc,nan
pfam00180,Iso dh,nan
pfam00815,Histidinol dh,nan
pfam00347,Ribosomal L6,nan
pfam12252,SidE PDE,nan
pfam08975,2H phosphodiest,nan
pfam07459,CTX RstB,nan
pfam10708,DUF2510,nan
pfam00078,RVT 1,nan
pfam05170,AsmA,nan
pfam01926,MMR HSR1,nan
pfam16932,T4SS TraI,nan
pfam08306,Glyco hydro 98M,nan
pfam08307,Glyco hydro 98C,nan
pfam04073,tRNA edit,nan
pfam13516,LRR 6,nan
pfam00581,Rhodanese,nan
pfam09533,DUF2380,nan
pfam03239,FTR1,nan
pfam00989,PAS,nan
pfam05677,DUF818,nan
pfam04226,Transgly assoc,nan
pfam08889,WbqC,nan
pfam13525,YfiO,nan
pfam03781,FGE sulfatase,nan
pfam00899,ThiF,nan
pfam05729,NACHT,nan
pfam12848,ABC tran Xtn,nan
pfam13240,zinc ribbon 2,nan
pfam06271,RDD,nan
pfam02677,QueH,nan
pfam05335,DUF745,nan
pfam12686,DUF3800,nan
pfam00731,AIRC,nan
pfam10547,P22 AR N,nan
pfam03693,ParD antitoxin,nan
pfam04519,Bactofilin,nan
pfam13539,Peptidase M15 4,nan
pfam01633,Choline kinase,nan
pfam12399,BCA ABC TP C,nan
pfam03567,Sulfotransfer 2,nan
pfam00480,ROK,nan
pfam07598,DUF1561,nan
pfam10030,DUF2272,nan
pfam08323,Glyco transf 5,nan
pfam16258,DUF4912,nan
pfam03065,Glyco hydro 57,nan
pfam09210,DUF1957,nan
pfam03320,FBPase glpX,nan
pfam13673,Acetyltransf 10,nan
pfam00881,Nitroreductase,nan
pfam11692,DUF3289,nan
pfam13290,CHB HEX C 1,nan
pfam05448,AXE1,nan
pfam05321,HHA,nan
pfam06530,Phage antitermQ,nan
pfam01121,CoaE,nan
pfam04860,Phage portal,nan
pfam02796,HTH 7,nan
pfam03167,UDG,nan
pfam13711,DUF4160,nan
pfam10824,T7SS ESX EspC,nan
pfam02085,Cytochrom CIII,nan
pfam15902,Sortilin Vps10,nan
pfam16080,Phage holin 2 3,nan
pfam01979,Amidohydro 1,nan
pfam00264,Tyrosinase,nan
pfam08240,ADH N,nan
pfam13708,DUF4942,nan
pfam00809,Pterin bind,nan
pfam02607,B12 binding 2,nan
pfam02310,B12 binding,nan
pfam01674,Lipase 2,nan
pfam01743,PolyA pol,nan
pfam04572,Gb3 synth,nan
pfam13406,SLT 2,nan
pfam02682,CT C D,nan
pfam05498,RALF,nan
pfam00277,SAA,nan
pfam00362,Integrin beta,nan
pfam09511,RNA lig T4 1,nan
pfam12840,HTH 20,nan
pfam01243,Putative PNPOx,nan
pfam09406,DUF2004,nan
pfam01943,Polysacc synt,nan
pfam01421,Reprolysin,tox
pfam04255,DUF433,nan
pfam10162,G8,nan
pfam12951,PATR,nan
pfam02013,CBM 10,nan
pfam07722,Peptidase C26,nan
pfam05690,ThiG,nan
pfam13599,Pentapeptide 4,nan
pfam13419,HAD 2,nan
pfam11175,DUF2961,nan
pfam03308,MeaB,nan
pfam00052,Laminin B,nan
pfam02926,THUMP,nan
pfam01170,UPF0020,nan
pfam02899,Phage int SAM 1,nan
pfam08847,Crr6,nan
pfam13242,Hydrolase like,nan
pfam00483,NTP transferase,nan
pfam12502,DUF3710,nan
pfam16349,DUF4978,nan
pfam15711,ILEI,nan
pfam14751,DUF4474,nan
pfam05013,FGase,nan
pfam00669,Flagellin N,nan
pfam00700,Flagellin C,nan
pfam00800,PDT,nan
pfam01842,ACT,nan
pfam03815,LCCL,nan
pfam00199,Catalase,nan
pfam06628,Catalase rel,nan
pfam01965,DJ 1 PfpI,nan
pfam01264,Chorismate synt,nan
pfam04232,SpoVS,nan
pfam10662,PduV EutP,nan
pfam09250,Prim Pol,nan
pfam08708,PriCT 1,nan
pfam08706,D5 N,nan
pfam14353,CpXC,nan
pfam13629,T2SS T3SS pil N,nan
pfam03272,Mucin bdg,nan
pfam13731,WxL,nan
pfam01373,Glyco hydro 14,nan
pfam00743,FMO like,nan
pfam09192,Act Frag cataly,nan
pfam03406,Phage fiber 2,nan
pfam07131,DUF1382,nan
pfam13895,Ig 2,nan
pfam16168,AIDA,nan
pfam12732,YtxH,nan
pfam04230,PS pyruv trans,nan
pfam04865,Baseplate J,nan
pfam02902,Peptidase C48,nan
pfam05717,TnpB IS66,nan
pfam13817,DDE Tnp IS66 C,nan
pfam00232,Glyco hydro 1,nan
pfam13936,HTH 38,nan
pfam05787,DUF839,nan
pfam14521,Aspzincin M35,nan
pfam02965,Met synt B12,nan
pfam04971,Phage holin 2 1,nan
pfam01131,Topoisom bac,nan
pfam16216,GxGYxYP N,nan
pfam14323,GxGYxYP C,nan
pfam07364,DUF1485,nan
pfam07171,MlrC C,nan
pfam14367,DUF4411,nan
pfam15544,Ntox6,tox
pfam07283,TrbH,nan
pfam13151,DUF3990,nan
pfam06268,Fascin,nan
pfam04014,MazE antitoxin,nan
pfam06744,IcmF C,nan
pfam14907,NTP transf 5,nan
pfam02987,LEA 4,nan
pfam02656,DUF202,nan
pfam02033,RBFA,nan
pfam02631,RecX,nan
pfam02805,Ada Zn binding,nan
pfam07678,TED complement,nan
pfam14028,Lant dehydr C,nan
pfam01351,RNase HII,nan
pfam09154,DUF1939,nan
pfam16332,DUF4962,nan
pfam03403,PAF AH p II,nan
pfam00144,Beta lactamase,nan
pfam00200,Disintegrin,nan
pfam12802,MarR 2,immunity
pfam01047,MarR,immunity
pfam15919,HicB lk antitox,immunity
pfam02604,PhdYeFM antitox,immunity
pfam09957,VapB antitoxin,immunity
pfam09346,SMI1 KNR4,immunity
pfam15593,Imm42,immunity
pfam14384,BrnA antitoxin,immunity
pfam02381,MraZ,immunity
pfam13338,AbiEi 4,immunity
pfam00893,Multi Drug Res,immunity
pfam15731,MqsA antitoxin,immunity
pfam05547,Peptidase M6,immunity
pfam01320,Colicin Pyocin,immunity
pfam15575,Imm49,immunity
pfam13630,SdpI,immunity
pfam12441,CopG antitoxin,immunity
pfam14433,SUKH 3,immunity
pfam02697,VAPB antitox,immunity
pfam07362,CcdA,immunity
pfam11903,ParD like,immunity
pfam09386,ParD,immunity
pfam10899,AbiGi,immunity
pfam12910,PHD like,immunity
pfam15937,PrlF antitoxin,immunity
pfam15970,HicB like 2,immunity
pfam15595,Imm51,immunity
pfam15579,Imm52,immunity
pfam14426,Imm2,immunity
pfam15574,Imm48,immunity
pfam15580,Imm53,immunity
pfam14425,Imm3,immunity
pfam15586,Imm8,immunity
pfam14435,SUKH 4,immunity
pfam15567,Imm35,immunity
pfam14013,MT0933 antitox,immunity
pfam15943,YdaS antitoxin,immunity
pfam15590,Imm27,immunity
pfam15594,Imm50,immunity
pfam15601,Imm70,immunity
pfam14430,Imm1,immunity
pfam15631,Imm NTF2 2,immunity
pfam15566,Imm32,immunity
pfam06154,CbeA antitoxin,immunity
pfam14122,YokU,immunity
pfam14112,DUF4284,immunity
pfam15588,Imm10,immunity
pfam15583,Imm68,immunity
pfam14185,SpoIISB antitox,immunity
pfam15562,Imm17,immunity
pfam14434,Imm6,immunity
pfam16695,Tai4,immunity
pfam14423,Imm5,immunity
pfam15565,Imm30,immunity
pfam15933,RnlB antitoxin,immunity
pfam15585,Imm7,immunity
pfam13939,TisB toxin,immunity
pfam15428,Imm26,immunity
pfam15603,Imm74,immunity
pfam15569,Imm40,immunity
pfam15655,Imm NTF2,immunity
pfam15587,Imm9,immunity
pfam16765,Pim,immunity
pfam15589,Imm21,immunity
pfam15599,Imm63,immunity
pfam15939,YmcE antitoxin,immunity
pfam15598,Imm61,immunity
pfam07262,CdiI,immunity
pfam15592,Imm41,immunity
pfam15596,Imm57,immunity
pfam15602,Imm71,immunity
pfam15584,Imm72,immunity
pfam15563,Imm19,immunity
pfam15571,Imm44,immunity
pfam16718,IFS,immunity
pfam08998,Epsilon antitox,immunity
pfam09407,AbiEi 1,immunity
pfam15597,Imm59,immunity
pfam15600,Imm64,immunity
pfam11480,ImmE5,immunity
pfam15573,Imm47,immunity
pfam15572,Imm45,immunity
pfam15582,Imm65,immunity
pfam15570,Imm43,immunity
pfam15591,Imm31,immunity
pfam03857,Colicin im,immunity
pfam15660,Imm75,immunity
pfam15564,Imm25,immunity
pfam15581,Imm58,immunity
pfam15568,Imm39,immunity
